2025-02-23 13:00:00.443 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:20:55.921 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:20:56.007 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:20:56.027 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 13:20:56.030 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 13:22:07.896 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:22:08.059 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:22:08.065 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 13:22:56.208 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:22:56.302 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:22:56.338 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 13:22:56.343 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:03:55.182 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:03:55.689 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:03:55.697 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:06:57.832 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:06:57.955 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:06:58.003 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:06:58.010 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:09:17.866 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:09:17.908 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:09:17.932 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:09:17.936 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:11:47.899 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:11:48.127 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:11:48.135 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:12:48.532 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:12:48.680 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:12:48.709 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:12:48.717 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:15:04.554 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:15:04.594 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:15:04.627 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:15:04.633 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:16:34.772 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:16:34.886 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:16:34.892 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:17:43.199 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:17:48.164 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:17:48.228 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:17:48.232 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:18:26.214 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:18:26.246 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:18:26.271 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:18:26.275 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:19:32.297 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:19:32.335 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:19:32.361 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:19:32.364 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:21:31.482 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:21:31.540 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:21:31.554 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:21:31.557 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:22:08.980 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:22:09.012 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:22:09.037 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:22:09.041 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:22:55.958 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:22:55.979 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:22:56.004 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:22:56.008 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:23:47.713 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:23:47.746 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.StockConfirmedEvent'.
2025-02-23 15:23:47.751 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.StockConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:23:47.770 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:23:47.781 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:23:47.788 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:24:46.288 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:24:46.310 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:24:46.323 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:24:46.326 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:26:01.032 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:26:01.075 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:26:01.098 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:26:01.104 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:26:35.817 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:26:35.953 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:26:35.959 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:26:52.279 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:26:52.434 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:26:52.466 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:26:52.470 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:31:53.526 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:31:53.733 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:31:53.742 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:33:48.205 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:33:48.316 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:33:48.337 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:33:48.341 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:36:24.099 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:36:24.127 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:36:24.175 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:36:24.179 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:42:25.824 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:42:35.422 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:42:36.169 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:42:42.701 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:42:42.907 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:42:42.981 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:42:42.989 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:42:43.019 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.StockConfirmedEvent'.
2025-02-23 15:42:43.024 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.StockConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:44:19.753 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:44:22.515 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:44:22.522 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:44:22.525 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:45:05.606 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 15:45:05.703 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 15:45:05.707 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 15:46:36.592 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:46:36.697 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:46:36.720 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:46:36.722 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:47:27.416 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:47:30.044 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:47:30.074 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 15:47:30.083 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 15:47:30.088 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 15:47:30.093 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 15:47:30.097 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
